"5","4.7u","Samsung Electro-Mechanics","C1705,C368809"
"10","100n","YAGEO","C60474"
"1","100p","YAGEO","C106200"
"2","13p","muRata","C161306"
"1","0.8p","muRata","C88902"
"1","0.3p","muRata","C76909"
"1","LED","YONGYUTAI","C21260817"
"1","DLF162500LT-5028A1","TDK","C531364"
"1","USB_C_Receptacle_USB2.0_16P","HCTL","C2894897"
"1","Conn_01x06_Socket","hanxia","C22438072"
"1","Conn_01x04_Socket","XFCN","C492398"
"1","Conn_Coaxial","HRS","C598199"
"1","10n","muRata","C184029"
"1","10u","HYHONGYEX","C963809"
"1","2.7n","muRata","C77108"
"3","5.1k","YAGEO","C105872"
"4","220R","UNI-ROYAL","C25091"
"1","SW_Push","hanxia","C49234124"
"1","TLV70033_SOT23-5","TI","C11337"
"1","USBLC6-2SC6","ST","C7519"
"1","STM32WB55CEU6","ST","C911135"
"1","32.768kHz","NSX","C54930595"
"1","32MHz","NDK","C843260"
